Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Jack Hermansson,def.,Ronaldo Souza,"Decision (unanimous) (49–45, 48–47, 48–47)",5,5:00
Heavyweight,Greg Hardy,def.,Dmitry Smolyakov,TKO (punches),1,2:15
Welterweight,Mike Perry,def.,Alex Oliveira,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Glover Teixeira,def.,Ion Cuțelaba,Submission (rear-naked choke),2,3:37
Bantamweight,Cory Sandhagen,def.,John Lineker,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Roosevelt Roberts,def.,Thomas Gifford,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Takashi Sato,def.,Ben Saunders,TKO (elbows and punches),2,1:18
Heavyweight,Augusto Sakai,def.,Andrei Arlovski,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Strawweight,Carla Esparza,def.,Virna Jandiroba,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Gilbert Burns,def.,Mike Davis,Submission (rear-naked choke),2,4:15
Lightweight,Jim Miller,def.,Jason Gonzalez,Submission (rear-naked choke),1,2:12
Women's Strawweight,Angela Hill,def.,Jodie Esquibel,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Dhiego Lima,def.,Court McGee,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
