Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Cheick Kongo,def.,Pat Barry,KO (punch),1,2:39
Welterweight,Charlie Brenneman,def.,Rick Story,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Matt Brown,def.,John Howard,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Matt Mitrione,def.,Christian Morecraft,KO (punches),2,4:28
Featherweight,Tyson Griffin,def.,Manvel Gamburyan,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Javier Vazquez,def.,Joe Stevenson,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Lightweight,Joe Lauzon,def.,Curt Warburton,Submission (kimura),1,1:58
Welterweight,Rich Attonito,def.,Daniel Roberts,"Decision (unanimous) (29–27, 30–27, 29–28)",3,5:00
Lightweight,Charles Oliveira,vs,Nik Lentz,No Contest,2,1:48
Featherweight,Ricardo Lamas,def.,Matt Grice,TKO (head kick and punches),1,4:41
Lightweight,Michael Johnson,def.,Edward Faaloloto,TKO (punches),1,4:42
