Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva,vs.,Nick Diaz,No Contest (overturned),5,5:00
Catchweight (180 lbs),Tyron Woodley,def.,Kelvin Gastelum,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Lightweight,Al Iaquinta,def.,Joe Lauzon,TKO (punches),2,3:34
Middleweight,Thales Leites,def.,Tim Boetsch,Technical Submission (arm-triangle choke),2,3:45
Welterweight,Thiago Alves,def.,Jordan Mein,TKO (body kick),2,0:39
Women's Bantamweight,Miesha Tate,def.,Sara McMann,"Decision (majority) (29–28, 29–27, 28–28)",3,5:00
Middleweight,Derek Brunson,def.,Ed Herman,TKO (punches),1,0:36
Catchweight (130 lbs),John Lineker,def.,Ian McCall,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Rafael Natal,def.,Tom Watson,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Middleweight,Ildemar Alcântara,def.,Richardson Moreira,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Thiago Santos,def.,Andy Enz,TKO (punches),1,1:56
