Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Darren Till,def.,Donald Cerrone,TKO (punches),1,4:20
Women's Strawweight,Karolina Kowalkiewicz,def.,Jodie Esquibel,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Jan Błachowicz,def.,Devin Clark,Submission (rear-naked choke),2,3:02
Middleweight,Oskar Piechota,def.,Jonathan Wilson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Marcin Held,def.,Nasrat Haqparast,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Brian Kelleher,def.,Damian Stasiak,TKO (punches),3,3:39
Catchweight (189 lbs),Ramazan Emeev,def.,Sam Alvey,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Andre Fili,def.,Artem Lobov,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Warlley Alves,def.,Salim Touahri,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Women's Bantamweight,Aspen Ladd,def.,Lina Länsberg,TKO (punches),2,2:33
Featherweight,Josh Emmett,def.,Felipe Arantes,"Decision (unanimous) (30–26, 30–26, 30–25)",3,5:00
