Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Santiago Ponzinibbio,def.,Gunnar Nelson,KO (punches),1,1:22
Catchweight (118 lbs),Cynthia Calvillo,def.,Joanne Calderwood,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Paul Felder,def.,Stevie Ray,KO (elbows),1,3:57
Middleweight,Jack Marshman,def.,Ryan Janes,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Khalil Rountree,def.,Paul Craig,KO (punches),1,4:56
Heavyweight,Justin Willis,def.,James Mulheron,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Danny Roberts,def.,Bobby Nash,KO (punches),2,3:59
Flyweight,Alexandre Pantoja,def.,Neil Seery,Submission (rear-naked choke),3,2:31
Welterweight,Galore Bofando,def.,Charlie Ward,KO (slam and punches),1,2:10
Lightweight,Danny Henry,def.,Daniel Teymur,"Decision (unanimous) (29–28, 29–28, 29–26)",3,5:00
Bantamweight,Brett Johns,def.,Albert Morales,"Decision (unanimous) (30–27, 30–27, 30–25)",3,5:00
Women's Bantamweight,Leslie Smith,def.,Amanda Lemos,TKO (punches and elbows),2,2:53
