Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Antônio Rodrigo Nogueira,def.,Tim Sylvia,Submission (guillotine choke),3,1:28
Heavyweight,Frank Mir,def.,Brock Lesnar,Submission (kneebar),1,1:30
Middleweight,Nate Marquardt,def.,Jeremy Horn,Submission (guillotine choke),2,1:37
Middleweight,Ricardo Almeida,def.,Rob Yundt,Submission (guillotine choke),1,1:08
Lightweight,Tyson Griffin,def.,Gleison Tibau,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Chris Lytle,def.,Kyle Bradley,KO (punches),1,0:33
Middleweight,Marvin Eastman,def.,Terry Martin,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Light Heavyweight,Tim Boetsch,def.,David Heath,TKO (slam and punches),1,4:52
Lightweight,Rob Emerson,def.,Keita Nakamura,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
