Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Glover Teixeira,def.,Rashad Evans,KO (punch),1,1:48
Women's Strawweight,Rose Namajunas,def.,Tecia Torres,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Catchweight (160 lbs),Khabib Nurmagomedov,def.,Darrell Horcher,TKO (punches),2,3:38
Featherweight,Cub Swanson,def.,Hacran Dias,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Michael Chiesa,def.,Beneil Dariush,Submission (rear-naked choke),2,1:20
Women's Bantamweight,Raquel Pennington,def.,Bethe Correia,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Santiago Ponzinibbio,def.,Court McGee,TKO (punches),1,4:15
Welterweight,Michael Graves,def.,Randy Brown,Submission (rear-naked choke),2,2:31
Bantamweight,John Dodson,def.,Manvel Gamburyan,TKO (punches),1,0:37
Middleweight,Cezar Ferreira,def.,Oluwale Bamgbose,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Welterweight,Elizeu Zaleski dos Santos,def.,Omari Akhmedov,TKO (knees),3,3:03
