Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Yair Rodríguez,def.,B.J. Penn,TKO (front kick and punches),2,0:24
Lightweight,Joe Lauzon,def.,Marcin Held,"Decision (split) (29–28, 29–28, 27–30)",3,5:00
Welterweight,Ben Saunders,def.,Court McGee,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Flyweight,Sergio Pettis,def.,John Moraga,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Drakkar Klose,def.,Devin Powell,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Augusto Mendes,def.,Frankie Saenz,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Heavyweight,Aleksei Oleinik,def.,Viktor Pešta,Submission (Ezekiel choke),1,2:57
Lightweight,Tony Martin,def.,Alex White,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Strawweight,Nina Ansaroff,def.,Jocelyn Jones-Lybarger,Submission (rear-naked choke),3,3:39
Heavyweight,Walt Harris,def.,Chase Sherman,KO (knee and punches),2,2:41
Light Heavyweight,Joachim Christensen,def.,Bojan Mihajlović,TKO (punches),3,2:05
Heavyweight,Cyril Asker,def.,Dmitry Smolyakov,TKO (punches and elbows),1,2:41
