Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Michael Bisping,def.,Luke Rockhold (c),KO (punches),1,3:36
Bantamweight,Dominick Cruz (c),def.,Urijah Faber,"Decision (unanimous) (50–45, 50–45, 49–46)",5,5:00
Featherweight,Max Holloway,def.,Ricardo Lamas,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Dan Henderson,def.,Hector Lombard,KO (head kick and elbows),2,1:27
Lightweight,Dustin Poirier,def.,Bobby Green,KO (punches),1,2:53
Featherweight,Brian Ortega,def.,Clay Guida,KO (knee),3,4:40
Lightweight,Beneil Dariush,def.,James Vick,KO (punch),1,4:16
Women's Strawweight,Jéssica Andrade,def.,Jessica Penne,TKO (punches),2,2:56
Featherweight,Alex Caceres,def.,Cole Miller,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Welterweight,Sean Strickland,def.,Tom Breese,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Light Heavyweight,Henrique da Silva,def.,Jonathan Wilson,TKO (punches),2,4:11
Middleweight,Kevin Casey,vs.,Elvis Mutapcic,"Draw (split) (29–28, 28–29, 28–28)",3,5:00
Lightweight,Polo Reyes,def.,Dong Hyun Ma,KO (punches),3,1:52
