Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Rick Story,def.,Gunnar Nelson,"Decision (split) (47–48, 49–46, 50–44)",5,5:00
Featherweight,Max Holloway,def.,Akira Corassani,TKO (punches),1,3:11
Light Heavyweight,Jan Błachowicz,def.,Ilir Latifi,TKO (body kick and punches),1,1:58
Featherweight,Mike Wilkinson,def.,Niklas Bäckström,KO (punches),1,1:19
Middleweight,Magnus Cedenblad,def.,Scott Askham,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Nico Musoke,def.,Alexander Yakovlev,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Dennis Siver,def.,Charles Rosa,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Cathal Pendred,def.,Gasan Umalatov,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Krzysztof Jotko,def.,Tor Troéng,"Decision (unanimous) (30–27, 30–26, 30–27)",3,5:00
Lightweight,Mairbek Taisumov,def.,Marcin Bandel,TKO (punches),1,1:01
Featherweight,Zubaira Tukhugov,def.,Ernest Chavez,TKO (punches),1,4:21
