Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Tony Ferguson,def.,Kevin Lee,Submission (triangle choke),3,4:02
Flyweight,Demetrious Johnson (c),def.,Ray Borg,Submission (armbar),5,3:15
Heavyweight,Fabrício Werdum,def.,Walt Harris,Submission (armbar),1,1:05
Women's Flyweight,Mara Romero Borella,def.,Kalindra Faria,Submission (rear-naked choke),1,2:54
Lightweight,Beneil Dariush,vs.,Evan Dunham,"Draw (majority) (29–28, 28–28, 28–28)",3,5:00
Bantamweight,Cody Stamann,def.,Tom Duquesnoy,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
Lightweight,Lando Vannata,vs.,Bobby Green,"Draw (split) (29–27, 27–29, 28–28)",3,5:00
Women's Strawweight,Poliana Botelho,def.,Pearl Gonzalez,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Matt Schnell,def.,Marco Beltrán,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Flyweight,John Moraga,def.,Magomed Bibulatov,KO (punch),1,1:38
Middleweight,Brad Tavares,def.,Thales Leites,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
