Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Featherweight,Cris Cyborg (c),def.,Yana Kunitskaya,TKO (punches),1,3:25
Featherweight,Brian Ortega,def.,Frankie Edgar,KO (punch),1,4:44
Bantamweight,Sean O’Malley,def.,Andre Soukhamthath,"Decision (unanimous) (29–27, 29–27, 29–28)",3,5:00
Heavyweight,Andrei Arlovski,def.,Stefan Struve,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Women's Bantamweight,Ketlen Vieira,def.,Cat Zingano,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Strawweight,Mackenzie Dern,def.,Ashley Yoder,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Alexander Hernandez,def.,Beneil Dariush,KO (punch),1,0:42
Bantamweight,John Dodson,def.,Pedro Munhoz,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Middleweight,C.B. Dollaway,def.,Hector Lombard,DQ (illegal punches),1,5:00
Welterweight,Zak Ottow,def.,Mike Pyle,TKO (punches),1,2:34
Bantamweight,Cody Stamann,def.,Bryan Caraway,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Light Heavyweight,Jordan Johnson,def.,Adam Milstead,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
