Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Frankie Edgar,def.,Urijah Faber,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Middleweight,Gegard Mousasi,def.,Costas Philippou,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Mark Muñoz,def.,Luke Barnatt,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Neil Magny,def.,Hyun Gyu Lim,TKO (punches),2,1:24
Featherweight,Phillipe Nover,def.,Yui Chul Nam,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Levan Makashvili,def.,Mark Eddiva,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
Lightweight,Jon Tuck,def.,Tae Hyun Bang,Submission (rear-naked choke),1,3:56
Lightweight,Kajan Johnson,def.,Zhang Lipeng,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Welterweight,Li Jingliang,def.,Dhiego Lima,KO (punches),1,1:25
Catchweight (137 lbs),Ning Guangyou,def.,Royston Wee,TKO (punches and elbows),2,4:59
Flyweight,Jon Delos Reyes,def.,Roldan Sangcha-an,Submission (rear-naked choke),2,3:13
Flyweight,Yao Zhikui,def.,Nolan Ticman,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
