Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Michael Bisping,def.,Yoshihiro Akiyama,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Carlos Condit,def.,Dan Hardy,KO (punch),1,4:27
Welterweight,Mike Pyle,def.,John Hathaway,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Cheick Kongo,vs.,Travis Browne,"Draw (unanimous) (28–28, 28–28, 28–28)",3,5:00
Welterweight,Claude Patrick,def.,James Wilks,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Alexander Gustafsson,def.,Cyrille Diabaté,Submission (rear-naked choke),2,2:41
Heavyweight,Rob Broughton,def.,Vinicius Queiroz,Submission (rear-naked choke),3,1:46
Lightweight,Paul Sass,def.,Mark Holst,Submission (triangle choke),1,4:45
Lightweight,Spencer Fisher,def.,Curt Warburton,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Fabio Maldonado,def.,James McSweeney,TKO (punches),3,0:48
