Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (c),def.,Nate Marquardt,TKO (punches),1,4:50
Light Heavyweight,Tito Ortiz,vs.,Rashad Evans,"Draw (unanimous) (28–28, 28–28, 28–28)",3,5:00
Lightweight,Sean Sherk (c),def.,Hermes França,"Decision (unanimous) (50–45, 50–45, 49–46)",5,5:00
Heavyweight,Antônio Rodrigo Nogueira,def.,Heath Herring,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Kenny Florian,def.,Alvin Robinson,TKO (punches),1,4:30
Light Heavyweight,Stephan Bonnar,def.,Mike Nickels,Submission (rear-naked choke),1,2:14
Lightweight,Jorge Gurgel,def.,Diego Saraiva,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Chris Lytle,def.,Jason Gilliam,Submission (inverted triangle choke and americana),1,2:15
Lightweight,Frankie Edgar,def.,Mark Bocek,TKO (punches),1,4:55
