Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,John Moraga,Submission (armbar),5,3:43
Welterweight,Rory MacDonald,def.,Jake Ellenberger,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Welterweight,Robbie Lawler,def.,Bobby Voelker,KO (head kick and punches),2,0:24
Women's Bantamweight,Liz Carmouche,def.,Jéssica Andrade,TKO (punches and elbows),2,3:57
Lightweight,Jorge Masvidal,def.,Michael Chiesa,Submission (D'Arce choke),2,4:59
Catchweight (160 lbs),Danny Castillo,def.,Tim Means,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Melvin Guillard,def.,Mac Danzig,KO (punches),2,2:47
Lightweight,Daron Cruickshank,def.,Yves Edwards,"Decision (split) (30–27, 27–30, 30–27)",3,5:00
Middleweight,Ed Herman,def.,Trevor Smith,"Decision (split) (27–30, 30–27, 29–28)",3,5:00
Women's Bantamweight,Germaine de Randamie,def.,Julie Kedzie,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
Lightweight,Justin Salas,def.,Aaron Riley,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Catchweight (137 lbs),Yaotzin Meza,def.,John Albert,Submission (rear-naked choke),2,2:49
