Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Justin Gaethje,def.,Donald Cerrone,TKO (punches),1,4:18
Light Heavyweight,Glover Teixeira,def.,Nikita Krylov,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Heavyweight,Todd Duffee,vs.,Jeff Hughes,No Contest (accidental eye poke),1,4:03
Catchweight (172 lbs),Tristan Connelly,def.,Michel Pereira,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00
Middleweight,Uriah Hall,def.,Antônio Carlos Júnior,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Light Heavyweight,Misha Cirkunov,def.,Jimmy Crute,Submission (peruvian necktie),1,3:38
Heavyweight,Augusto Sakai,def.,Marcin Tybura,KO (punches),1,0:59
Bantamweight,Miles Johns,def.,Cole Smith,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Bantamweight,Hunter Azure,def.,Brad Katona,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Featherweight,Chas Skelly,def.,Jordan Griffin,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Louis Smolka,def.,Ryan MacDonald,TKO (punches),1,4:43
Lightweight,Austin Hubbard,def.,Kyle Prepolec,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
