Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Strawweight,Carla Esparza,def.,Rose Namajunas,Submission (neck crank),3,1:26
Catchweight (146.5 lbs),Charles Oliveira,def.,Jeremy Stephens,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,K.J. Noons,vs.,Daron Cruickshank,No Contest (accidental eye poke),2,0:25
Lightweight,Yancy Medeiros,def.,Joe Proctor,Submission (guillotine choke),1,4:37
Women's Strawweight,Jessica Penne,def.,Randa Markos,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Women's Strawweight,Felice Herrig,def.,Lisa Ellis,Submission (armbar),2,3:05
Women's Strawweight,Heather Jo Clark,def.,Bec Rawlings,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Strawweight,Joanne Calderwood,def.,Seo Hee Ham,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Women's Strawweight,Tecia Torres,def.,Angela Magaña,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Catchweight (118 lbs),Aisling Daly,def.,Alex Chambers,Submission (armbar),1,4:53
Women's Strawweight,Angela Hill,def.,Emily Kagan,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00
