Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Frankie Edgar,def.,B.J. Penn,TKO (punches),3,4:16
Light Heavyweight,Corey Anderson,def.,Matt Van Buren,TKO (punches),1,1:01
Middleweight,Eddie Gordon,def.,Dhiego Lima,TKO (punches),1,1:11
Heavyweight,Derrick Lewis,def.,Guto Inocente,TKO (punches),1,3:30
Flyweight,Dustin Ortiz,def.,Justin Scoggins,"Decision (split) (29-28, 28–29, 29–28)",3,5:00
Lightweight,Kevin Lee,def.,Jesse Ronson,"Decision (split) (29-28, 28–29, 30–27)",3,5:00
Bantamweight,Leandro Issa,def.,Jumabieke Tuerxun,Submission (armbar),3,3:49
Lightweight,Adriano Martins,def.,Juan Puig,KO (punch),1,2:21
Light Heavyweight,Patrick Walsh,def.,Daniel Spohn,"Decision (unanimous) (29-28, 29–28, 29–28)",3,5:00
Catchweight (143 lbs),Sarah Moras,def.,Alexis Dufresne,"Decision (unanimous) (29-28, 29–28, 30–27)",3,5:00
Light Heavyweight,Robert Drysdale,vs.,Keith Berish,No Contest (overturned),1,2:03
