Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Cain Velasquez (c),def.,Junior dos Santos,TKO (slam and punch),5,3:09
Heavyweight,Daniel Cormier,def.,Roy Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Gilbert Melendez,def.,Diego Sanchez,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Heavyweight,Gabriel Gonzaga,def.,Shawn Jordan,KO (punches),1,1:33
Flyweight,John Dodson,def.,Darrell Montague,KO (punch),1,4:13
Middleweight,Tim Boetsch,def.,C.B. Dollaway,"Decision (split) (30–26, 27–29, 30–26)",3,5:00
Welterweight,Hector Lombard,def.,Nate Marquardt,KO (punches),1,1:48
Women's Bantamweight,Jessica Eye,vs.,Sarah Kaufman,No Contest (overturned),3,5:00
Lightweight,K.J. Noons,def.,George Sotiropoulos,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Welterweight,Adlan Amagov,def.,TJ Waldburger,KO (punches),1,3:00
Lightweight,Tony Ferguson,def.,Mike Rio,Submission (D'Arce choke),1,1:52
Catchweight (148.5 lbs),Andre Fili,def.,Jeremy Larsen,TKO (punches),2,0:53
Bantamweight,Kyoji Horiguchi,def.,Dustin Pague,TKO (punches),2,3:51
