Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Thiago Santos,def.,Eryk Anders,TKO (referee stoppage),3,5:00
Welterweight,Alex Oliveira,def.,Carlo Pedersoli Jr.,TKO (punches),1,0:39
Light Heavyweight,Antônio Rogério Nogueira,def.,Sam Alvey,TKO (punches),2,1:00
Catchweight (141.6 lbs),Andre Ewell,def.,Renan Barão,"Decision (split) (29–28, 29–28, 28–29)",3,5:00
Women's Strawweight,Randa Markos,vs.,Marina Rodriguez,"Draw (majority) (29–28, 28–28, 28–28)",3,5:00
Lightweight,Charles Oliveira,def.,Christos Giagos,Submission (rear-naked choke),2,3:22
Lightweight,Francisco Trinaldo,def.,Evan Dunham,TKO (knee to the body),2,4:10
Light Heavyweight,Ryan Spann,def.,Luis Henrique,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Heavyweight,Augusto Sakai,def.,Chase Sherman,TKO (punches),3,4:03
Welterweight,Sérgio Moraes,def.,Ben Saunders,Submission (arm-triangle choke),2,4:42
Women's Flyweight,Mayra Bueno Silva,def.,Gillian Robertson,Submission (armbar),1,4:55
Middleweight,Thales Leites,def.,Hector Lombard,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Elizeu Zaleski dos Santos,def.,Luigi Vendramini,KO (flying knee and punches),2,1:20
Women's Strawweight,Lívia Renata Souza,def.,Alex Chambers,Submission (guillotine choke),1,1:21
