Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (c),def.,Yushin Okami,TKO (punches),2,2:04
Light Heavyweight,Maurício Rua,def.,Forrest Griffin,KO (punches),1,1:53
Lightweight,Edson Barboza,def.,Ross Pearson,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Heavyweight,Antônio Rodrigo Nogueira,def.,Brendan Schaub,KO (punches),1,3:09
Light Heavyweight,Stanislav Nedkov,def.,Luiz Cane,TKO (punches),1,4:13
Lightweight,Thiago Tavares,def.,Spencer Fisher,TKO (punches),2,2:51
Middleweight,Rousimar Palhares,def.,Dan Miller,"Decision (unanimous) (29–27, 30–27, 30–25)",3,5:00
Welterweight,Paulo Thiago,def.,David Mitchell,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Raphael Assunção,def.,Johnny Eduardo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Erick Silva,def.,Luis Ramos,TKO (punches),1,0:40
Featherweight,Iuri Alcântara,def.,Felipe Arantes,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Yves Jabouin,def.,Ian Loveland,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
