Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Dustin Poirier,def.,Anthony Pettis,TKO (rib injury),3,2:08
Welterweight,Matt Brown,def.,Diego Sanchez,KO (elbow),1,3:44
Heavyweight,Andrei Arlovski,def.,Júnior Albini,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Middleweight,Cezar Ferreira,def.,Nate Marquardt,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Catchweight (138.5 lbs),Raphael Assunção,def.,Matthew Lopez,KO (punch),3,1:50
Lightweight,Clay Guida,def.,Joe Lauzon,TKO (punches and elbows),1,1:07
Bantamweight,Marlon Moraes,def.,John Dodson,"Decision (split) (30–27, 27–30, 30–27)",3,5:00
Women's Strawweight,Tatiana Suarez,def.,Viviane Pereira,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Lightweight,Sage Northcutt,def.,Michel Quiñones,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Strawweight,Nina Ansaroff,def.,Angela Hill,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Sean Strickland,def.,Court McGee,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Light Heavyweight,Jake Collier,def.,Marcel Fortuna,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Middleweight,Karl Roberson,def.,Darren Stewart,Submission (rear-naked choke),1,3:41
