Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Daniel Cormier (c),def.,Anthony Johnson,Submission (rear-naked choke),2,3:37
Middleweight,Gegard Mousasi,def.,Chris Weidman,TKO (knees),2,3:13
Women's Strawweight,Cynthia Calvillo,def.,Pearl Gonzalez,Submission (rear-naked choke),3,3:45
Welterweight,Thiago Alves,def.,Patrick Côté,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Charles Oliveira,def.,Will Brooks,Submission (rear-naked choke),1,2:30
Featherweight,Myles Jury,def.,Mike De La Torre,TKO (elbows and punches),1,3:30
Welterweight,Kamaru Usman,def.,Sean Strickland,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
Featherweight,Shane Burgos,def.,Charles Rosa,TKO (punches),3,1:59
Light Heavyweight,Patrick Cummins,def.,Jan Błachowicz,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Lightweight,Gregor Gillespie,def.,Andrew Holbrook,KO (punches),1,0:21
Lightweight,Desmond Green,def.,Josh Emmett,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Women's Bantamweight,Katlyn Chookagian,def.,Irene Aldana,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Flyweight,Magomed Bibulatov,def.,Jenel Lausa,"Decision (unanimous) (29–26, 29–26, 29–26)",3,5:00
