Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Strawweight,Jéssica Andrade,def.,Rose Namajunas (c),KO (slam),2,2:58
Middleweight,Jared Cannonier,def.,Anderson Silva,TKO (leg kicks),1,4:47
Featherweight,Alexander Volkanovski,def.,José Aldo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Laureano Staropoli,def.,Thiago Alves,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Catchweight (141 lbs),Irene Aldana,def.,Bethe Correia,Submission (armbar),3,3:24
Light Heavyweight,Ryan Spann,def.,Antônio Rogério Nogueira,KO (punches),1,2:07
Lightweight,Thiago Moisés,def.,Kurt Holobaugh,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00
Welterweight,Warlley Alves,def.,Sérgio Moraes,KO (punch),3,4:13
Lightweight,Clay Guida,def.,B.J. Penn,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Women's Flyweight,Luana Carolina,def.,Priscila Cachoeira,"Decision (unanimous) (30–26, 30–26, 29–27)",3,5:00
Bantamweight,Raoni Barcelos,def.,Carlos Huachin,TKO (punches and elbows),2,4:49
Women's Bantamweight,Viviane Araújo,def.,Talita Bernardo,KO (punch),3,0:48
