Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Rashad Evans,def.,Quinton Jackson,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Middleweight,Michael Bisping,def.,Dan Miller,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Heavyweight,Mike Russow,def.,Todd Duffee,KO (punch),3,2:35
Light Heavyweight,Antônio Rogério Nogueira,def.,Jason Brilz,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,John Hathaway,def.,Diego Sanchez,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Welterweight,Dong Hyun Kim,def.,Amir Sadollah,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Efrain Escudero,def.,Dan Lauzon,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00
Lightweight,Melvin Guillard,def.,Waylon Lowe,TKO (knee to the body),1,3:28
Light Heavyweight,Cyrille Diabaté,def.,Luiz Cane,TKO (punches),1,2:13
Lightweight,Aaron Riley,def.,Joe Brammer,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Ryan Jensen,def.,Jesse Forbes,Submission (guillotine choke),1,1:06
