Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Antônio Silva,def.,Travis Browne,TKO (punches),1,3:27
Welterweight,Jake Ellenberger,def.,Jay Hieron,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Flyweight,John Dodson,def.,Jussier Formiga,TKO (punches),2,4:35
Welterweight,Justin Edwards,def.,Josh Neer,Technical Submission (guillotine choke),1,0:45
Lightweight,Michael Johnson,def.,Danny Castillo,KO (punches),2,1:06
Welterweight,Mike Pierce,def.,Aaron Simpson,KO (punches),2,0:29
Lightweight,Marcus LeVesseur,def.,Carlo Prater,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Jacob Volkmann,def.,Shane Roller,Submission (rear-naked choke),1,2:38
Featherweight,Diego Nunes,def.,Bart Palaszewski,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Flyweight,Darren Uyenoyama,def.,Phil Harris,Submission (rear-naked choke),2,3:38
