Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Ronda Rousey (c),def.,Sara McMann,TKO (knee to the body),1,1:06
Light Heavyweight,Daniel Cormier,def.,Patrick Cummins,TKO (punches),1,1:19
Welterweight,Rory MacDonald,def.,Demian Maia,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Mike Pyle,def.,TJ Waldburger,TKO (elbows and punches),3,4:03
Welterweight,Stephen Thompson,def.,Robert Whittaker,TKO (punches),1,3:43
Women's Bantamweight,Alexis Davis,def.,Jessica Eye,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Bantamweight,Raphael Assunção,def.,Pedro Munhoz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Aljamain Sterling,def.,Cody Gibson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Flyweight,Zach Makovsky,def.,Josh Sampo,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Erik Koch,def.,Rafaello Oliveira,TKO (punches),1,1:24
Lightweight,Ernest Chavez,def.,Yosdenis Cedeno,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
