Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Catchweight (140 lbs),Cris Cyborg,def.,Lina Länsberg,TKO (punches),2,2:29
Featherweight,Renan Barão,def.,Phillipe Nover,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Heavyweight,Roy Nelson,def.,Antônio Silva,KO (punches),2,4:10
Lightweight,Francisco Trinaldo,def.,Paul Felder,TKO (doctor stoppage),3,2:25
Middleweight,Eric Spicely,def.,Thiago Santos,Submission (rear-naked choke),1,2:58
Featherweight,Godofredo Pepey,def.,Mike De La Torre,Submission (rear-naked choke),1,3:03
Catchweight (158 lbs),Michel Prazeres,def.,Gilbert Burns,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Rani Yahya,def.,Michinori Tanaka,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Flyweight,Jussier Formiga,def.,Dustin Ortiz,"Decision (unanimous) (30–27, 29–27, 29–28)",3,5:00
Welterweight,Erick Silva,def.,Luan Chagas,Submission (rear-naked choke),3,3:57
Lightweight,Alan Patrick,def.,Stevie Ray,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Welterweight,Vicente Luque,def.,Héctor Urbina,KO (punch),1,1:00
Lightweight,Gregor Gillespie,def.,Glaico França,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00
