Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Fabrício Werdum (ic),def.,Cain Velasquez (c),Submission (guillotine choke),3,2:13
Lightweight,Eddie Alvarez,def.,Gilbert Melendez,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Kelvin Gastelum,def.,Nate Marquardt,TKO (corner stoppage),2,5:00
Featherweight,Yair Rodríguez,def.,Charles Rosa,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Strawweight,Tecia Torres,def.,Angela Hill,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Flyweight,Henry Cejudo,def.,Chico Camus,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Lightweight,Efrain Escudero,def.,Drew Dober,Submission (standing guillotine choke),1,0:54
Bantamweight,Patrick Williams,def.,Alejandro Pérez,Technical Submission (standing guillotine choke),1,0:23
Lightweight,Johnny Case,def.,Francisco Trevino,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Cathal Pendred,def.,Augusto Montaño,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Gabriel Benítez,def.,Clay Collard,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
