Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Neil Magny,def.,Kelvin Gastelum,"Decision (split) (47–48, 48–47, 48–47)",5,5:00
Featherweight,Ricardo Lamas,def.,Diego Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Henry Cejudo,def.,Jussier Formiga,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
Welterweight,Erick Montaño,def.,Enrique Marín,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Enrique Barzola,def.,Horacio Gutiérrez,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Lightweight,Leandro Silva,def.,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Érik Pérez,def.,Taylor Lapilus,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Bartosz Fabiński,def.,Héctor Urbina,"Decision (unanimous)  (29–28, 30–27, 30–27)",3,5:00
Bantamweight,Alejandro Pérez,def.,Scott Jorgensen,Submission (ankle injury),2,4:26
Featherweight,Andre Fili,def.,Gabriel Benítez,KO (head kick and punches),1,3:13
Welterweight,Álvaro Herrera,def.,Vernon Ramos,KO (punches),1,0:30
Lightweight,Polo Reyes,def.,Cesar Arzamendia,KO (punch),1,3:42
Lightweight,Michel Prazeres,def.,Valmir Lázaro,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
