Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Kenny Florian,def.,Takanori Gomi,Submission (rear-naked choke),3,2:52
Heavyweight,Roy Nelson,def.,Stefan Struve,KO (punches),1,0:39
Middleweight,Jorge Rivera,def.,Nate Quarry,TKO (punches),2,0:29
Lightweight,Ross Pearson,def.,Dennis Siver,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Andre Winner,def.,Rafaello Oliveira,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Lightweight,Jacob Volkmann,def.,Ronys Torres,"Decision (split) (28–29, 30–27, 30–27)",3,5:00
Lightweight,Nik Lentz,def.,Rob Emerson,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Lightweight,Gleison Tibau,def.,Caol Uno,TKO (punches),1,4:13
Middleweight,Yushin Okami,def.,Lucio Linhares,TKO (doctor stoppage),2,2:47
Middleweight,Gerald Harris,def.,Mario Miranda,TKO (punches),1,4:49
Welterweight,Charlie Brenneman,def.,Jason High,"Decision (unanimous) (30–27, 30–27. 29–28)",3,5:00
