Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Amanda Nunes (c),def.,Valentina Shevchenko,"Decision (split) (47–48, 48–47, 48–47)",5,5:00
Welterweight,Rafael dos Anjos,def.,Neil Magny,Submission (arm-triangle choke),1,3:43
Flyweight,Henry Cejudo,def.,Wilson Reis,TKO (punches),2,0:25
Light Heavyweight,Ilir Latifi,def.,Tyson Pedro,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Featherweight,Jeremy Stephens,def.,Gilbert Melendez,"Decision (unanimous) (30–26, 30–26, 30–25)",3,5:00
Women's Bantamweight,Ketlen Vieira,def.,Sara McMann,Submission (arm-triangle choke),2,4:16
Women's Bantamweight,Sarah Moras,def.,Ashlee Evans-Smith,Submission (armbar),1,2:51
Featherweight,Rick Glenn,def.,Gavin Tucker,"Decision (unanimous) (30–25, 30–24, 29–27)",3,5:00
Lightweight,Alex White,def.,Mitch Clarke,TKO (punches),2,4:36
Heavyweight,Arjan Bhullar,def.,Luis Henrique,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Kajan Johnson,def.,Adriano Martins,KO (punch),3,0:49
