Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,José Aldo (c),def.,Chad Mendes,KO (knee),1,4:59
Catchweight (197 lbs),Vitor Belfort,def.,Anthony Johnson,Submission (rear-naked choke),1,4:49
Middleweight,Rousimar Palhares,def.,Mike Massenzio,Submission (heel hook),1,1:03
Welterweight,Carlo Prater,def.,Erick Silva,DQ (punches and elbows to back of head),1,0:29
Lightweight,Edson Barboza,def.,Terry Etim,KO (wheel kick),3,2:02
Lightweight,Thiago Tavares,def.,Sam Stout,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Heavyweight,Gabriel Gonzaga,def.,Ednaldo Oliveira,Submission (rear-naked choke),1,3:22
Featherweight,Iuri Alcântara,def.,Michihiro Omigawa,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Welterweight,Mike Pyle,def.,Ricardo Funch,TKO (knee and punches),1,1:22
Featherweight,Felipe Arantes,def.,Antonio Carvalho,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
