Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Tedd Williams,def.,Steve Judson,TKO (punches),1,3:23
Middleweight,Lance Gibson,def.,Jermaine Andre,KO (knee),3,3:35
Lightweight,Dave Menne,def.,Fabiano Iha,Decision (unanimous),3,5:00
Lightweight,Bob Cook,def.,Tiki Ghosn,Submission (rear-naked choke),2,1:29
Lightweight,Jens Pulver,def.,David Velasquez,TKO (punches),2,2:41
Heavyweight,Scott Adams,def.,Ian Freeman,Submission (achilles lock),1,3:09
Lightweight,Shonie Carter,def.,Brad Gumm,Decision (unanimous),2,5:00
