Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Kelvin Gastelum,def.,Michael Bisping,KO (punches),1,2:30
Welterweight,Li Jingliang,def.,Zak Ottow,TKO (punches),1,2:57
Featherweight,Wang Guan,def.,Alex Caceres,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Alex Garcia,def.,Muslim Salikhov,Submission (rear-naked choke),2,3:22
Featherweight,Zabit Magomedsharipov,def.,Sheymon Moraes,Submission (anaconda choke),3,4:30
Welterweight,Song Kenan,def.,Bobby Nash,TKO (punches),1,0:15
Women's Strawweight,Yan Xiaonan,def.,Kailin Curran,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Featherweight,Song Yadong,def.,Bharat Kandare,Submission (guillotine choke),1,4:16
Heavyweight,Shamil Abdurakhimov,def.,Chase Sherman,KO (punch),1,1:24
Women's Bantamweight,Gina Mazany,def.,Wu Yanan,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Catchweight (148 lbs),Rolando Dy,def.,Wuliji Buren,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Heavyweight,Cyril Asker,def.,Hu Yaozong,Submission (rear-naked choke),2,2:33
