Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Frank Mir,def.,Antônio Silva,KO (punch and elbows),1,1:40
Lightweight,Michael Johnson,def.,Edson Barboza,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Middleweight,Sam Alvey,def.,Cezar Ferreira,KO (punches),1,3:34
Lightweight,Adriano Martins,def.,Rustam Khabilov,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Bantamweight,Frankie Saenz,def.,Iuri Alcântara,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Santiago Ponzinibbio,def.,Sean Strickland,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Bantamweight,Marion Reneau,def.,Jéssica Andrade,Submission (triangle choke),1,1:54
Welterweight,Matt Dwyer,def.,William Macário,KO (superman punch),1,3:14
Featherweight,Mike De La Torre,def.,Tiago Trator,KO (punches),1,2:59
Bantamweight,Douglas Silva de Andrade,def.,Cody Gibson,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Lightweight,Ivan Jorge,def.,Josh Shockley,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
