Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,Ali Bagautinov,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Welterweight,Rory MacDonald,def.,Tyron Woodley,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Ryan Bader,def.,Rafael Cavalcante,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Andrei Arlovski,def.,Brendan Schaub,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Light Heavyweight,Ovince Saint Preux,def.,Ryan Jimmo,Submission (kimura),2,2:10
Welterweight,Kiichi Kunimoto,def.,Daniel Sarafian,Submission (rear-naked choke),1,2:52
Women's Bantamweight,Valérie Létourneau,def.,Elizabeth Phillips,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Bantamweight,Yves Jabouin,def.,Mike Easton,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Tae Hyun Bang,def.,Kajan Johnson,KO (punch),3,2:01
Bantamweight,Michinori Tanaka,def.,Roland Delorme,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Jason Saggo,def.,Josh Shockley,TKO (punches),1,4:57
