Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Diego Sanchez,def.,Martin Kampmann,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Mark Muñoz,def.,C.B. Dollaway,TKO (punches),1,0:54
Middleweight,Chris Weidman,def.,Alessio Sakara,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Brian Bowles,def.,Damacio Page,Submission (guillotine choke),1,3:30
Light Heavyweight,Cyrille Diabaté,def.,Steve Cantwell,"Decision (unanimous) (30–27, 30–25, 30–26)",3,5:00
Lightweight,Danny Castillo,def.,Joe Stevenson,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Shane Roller,def.,Thiago Tavares,KO (punches),2,1:28
Bantamweight,Takeya Mizugaki,def.,Reuben Duran,"Decision (split) (27–30, 30–27, 29–28)",3,5:00
Middleweight,Dongi Yang,def.,Rob Kimmons,TKO (punches),2,4:47
Middleweight,Rousimar Palhares,def.,David Branch,Submission (kneebar),2,1:44
Light Heavyweight,Igor Pokrajac,def.,Todd Brown,TKO (knee and punches),1,5:00
