Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Catchweight (190 lb),Rich Franklin,def.,Wanderlei Silva,"Decision (unanimous) (49–46, 49–46, 49–46)",5,5:00
Middleweight,Cezar Ferreira,def.,Sérgio Moraes,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Featherweight,Rony Jason,def.,Godofredo Pepey,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Fabrício Werdum,def.,Mike Russow,TKO (punches),1,2:28
Featherweight,Hacran Dias,def.,Iuri Alcântara,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Featherweight,Rodrigo Damm,def.,Anistavio Medeiros,Submission (rear-naked choke),1,2:12
Middleweight,Francisco Trinaldo,def.,Delson Heleno,TKO (punches),1,4:21
Catchweight (150 lb),Hugo Viana,def.,John Teixeira,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Thiago Perpétuo,def.,Leonardo Mafra,TKO (punches),3,0:41
Featherweight,Marcos Vinicius,def.,Wagner Campos,TKO (punches),3,1:04
Featherweight,Felipe Arantes,vs.,Milton Vieira,"Draw (split) (28–29, 29–28, 28–28)",3,5:00
