Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Kevin Lee,def.,Michael Chiesa,Technical Submission (rear-naked choke),1,4:37
Catchweight (188 lbs),Tim Boetsch,def.,Johny Hendricks,TKO (head kick and punches),2,0:46
Women's Strawweight,Felice Herrig,def.,Justine Kish,"Decision (unanimous) (30–26, 30–26, 29–27)",3,5:00
Light Heavyweight,Dominick Reyes,def.,Joachim Christensen,TKO (punches),1,0:29
Welterweight,Tim Means,def.,Alex Garcia,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Dennis Siver,def.,B.J. Penn,"Decision (majority) (28–28, 29–28, 29–27)",3,5:00
Lightweight,Clay Guida,def.,Erik Koch,"Decision (unanimous) (29–28, 29–26, 30–26)",3,5:00
Middleweight,Marvin Vettori,def.,Vitor Miranda,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Women's Strawweight,Carla Esparza,def.,Maryna Moroz,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Darrell Horcher,def.,Devin Powell,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Catchweight (149 lbs),Jared Gordon,def.,Michel Quiñones,TKO (punches),2,4:24
Lightweight,Tony Martin,def.,Johnny Case,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Jeremy Kimball,def.,Josh Stansbury,TKO (punches),1,1:21
