Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Junior dos Santos,def.,Blagoy Ivanov,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Welterweight,Sage Northcutt,def.,Zak Ottow,KO (punches),2,3:13
Featherweight,Rick Glenn,def.,Dennis Bermudez,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
Welterweight,Niko Price,def.,Randy Brown,KO (punches),2,1:09
Featherweight,Chad Mendes,def.,Myles Jury,TKO (punches),1,2:52
Women's Bantamweight,Cat Zingano,def.,Marion Reneau,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Bantamweight,Alejandro Pérez,def.,Eddie Wineland,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Alexander Volkanovski,def.,Darren Elkins,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Flyweight,Said Nurmagomedov,def.,Justin Scoggins,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Raoni Barcelos,def.,Kurt Holobaugh,KO (punches),3,1:29
Women's Flyweight,Liz Carmouche,def.,Jennifer Maia,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Flyweight,Mark De La Rosa,def.,Elias Garcia,Submission (rear-naked choke),2,2:00
Women's Strawweight,Jessica Aguilar,def.,Jodie Esquibel,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
