Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Brock Lesnar,def.,Randy Couture (c),TKO (punches),2,3:07
Lightweight,Kenny Florian,def.,Joe Stevenson,Submission (rear-naked choke),1,4:03
Welterweight,Dustin Hazelett,def.,Tamdan McCrory,Submission (armbar),1,3:59
Heavyweight,Gabriel Gonzaga,def.,Josh Hendricks,TKO (punches),1,1:01
Middleweight,Demian Maia,def.,Nate Quarry,Submission (rear-naked choke),1,2:13
Lightweight,Aaron Riley,def.,Jorge Gurgel,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Jeremy Stephens,def.,Rafael dos Anjos,KO (punches),3,0:39
Lightweight,Mark Bocek,def.,Alvin Robinson,Submission (rear-naked choke),3,3:16
Welterweight,Matt Brown,def.,Ryan Thomas,Submission (armbar),2,0:57
