Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Matt Hughes (c),def.,Frank Trigg,Submission (standing rear-naked choke),1,3:54
Middleweight,Matt Lindland,def.,Falaniko Vitale,Submission (punches),3,4:23
Heavyweight,Wesley Correira,def.,Tank Abbott,TKO (doctor stoppage),1,2:14
Middleweight,Evan Tanner,def.,Phil Baroni,TKO (punches),1,4:42
Welterweight,Robbie Lawler,def.,Chris Lytle,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Pedro Rizzo,def.,Ricco Rodriguez,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Middleweight,Keith Rockel,def.,Chris Liguori,Submission (guillotine choke),1,3:29
Lightweight,Yves Edwards,def.,Nick Agallar,TKO (punches),2,2:14
