Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Anthony Smith,def.,Maurício Rua,KO (elbow and punches),1,1:29
Light Heavyweight,Corey Anderson,def.,Glover Teixeira,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Abu Azaitar,def.,Vitor Miranda,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Heavyweight,Marcin Tybura,def.,Stefan Struve,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Danny Roberts,def.,David Zawada,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
Lightweight,Nasrat Haqparast,def.,Marc Diakiese,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Lightweight,Damir Hadžović,def.,Nick Hein,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Bartosz Fabiński,def.,Emil Weber Meek,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Featherweight,Nad Narimani,def.,Khalid Taha,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Aleksandar Rakić,def.,Justin Ledet,"Decision (unanimous) (30–25, 30–24, 30–24)",3,5:00
Bantamweight,Manny Bermudez,def.,Davey Grant,Technical Submission (triangle choke),1,0:59
Light Heavyweight,Darko Stošić,def.,Jeremy Kimball,TKO (elbows and punches),1,3:13
Bantamweight,Liu Pingyuan,def.,Damian Stasiak,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
