Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Ryan Bader,def.,Ovince Saint Preux,"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00
Lightweight,Ross Pearson,def.,Gray Maynard,TKO (punches),2,1:35
Middleweight,Tim Boetsch,def.,Brad Tavares,TKO (punches),2,3:18
Welterweight,Alan Jouban,def.,Seth Baczynski,KO (punch),1,4:23
Heavyweight,Shawn Jordan,def.,Jack May,TKO (punches),3,2:03
Featherweight,Thiago Tavares,def.,Robbie Peralta,Submission (rear-naked choke),1,4:27
Flyweight,Jussier Formiga,def.,Zach Makovsky,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Sara McMann,def.,Lauren Murphy,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Middleweight,Tom Watson,def.,Sam Alvey,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Frankie Saenz,def.,Nolan Ticman,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
