Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Stipe Miocic,def.,Fabrício Werdum (c),KO (punch),1,2:47
Middleweight,Ronaldo Souza,def.,Vitor Belfort,TKO (punches),1,4:38
Catchweight (140 lbs),Cris Cyborg,def.,Leslie Smith,TKO (punches),1,1:21
Light Heavyweight,Maurício Rua,def.,Corey Anderson,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Bryan Barberena,def.,Warlley Alves,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Demian Maia,def.,Matt Brown,Submission (rear-naked choke),3,4:31
Middleweight,Thiago Santos,def.,Nate Marquardt,KO (punches),1,3:39
Lightweight,Francisco Trinaldo,def.,Yancy Medeiros,"Decision (unanimous) (29–26, 30–27, 30–26)",3,5:00
Bantamweight,John Lineker,def.,Rob Font,"Decision (unanimous) (30–27, 29–28, 30–26)",3,5:00
Light Heavyweight,Antônio Rogério Nogueira,def.,Patrick Cummins,TKO (punches),1,4:52
Welterweight,Sérgio Moraes,vs.,Luan Chagas,"Draw (split) (29–28, 28–29, 28–28)",3,5:00
Featherweight,Renato Moicano,def.,Zubaira Tukhugov,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
