Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Flyweight,Nicco Montaño,def.,Roxanne Modafferi,"Decision (unanimous) (50–45, 49–46, 49–46)",5,5:00
Bantamweight,Sean O'Malley,def.,Terrion Ware,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Flyweight,Lauren Murphy,def.,Barb Honchak,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Gerald Meerschaert,def.,Eric Spicely,TKO (body kick),2,2:18
Women's Flyweight,DeAnna Bennett,vs.,Melinda Fábián,"Draw (majority) (29–27, 28–28, 28–28)",3,5:00
Bantamweight,Brett Johns,def.,Joe Soto,Submission (calf slicer),1,0:30
Women's Flyweight,Montana De La Rosa,def.,Christina Marks,Submission (armbar),1,2:00
Middleweight,Ryan Janes,def.,Andrew Sanchez,TKO (punches),3,0:59
Woman's Catchweight (130 lbs),Rachael Ostovich,def.,Karine Gevorgyan,Submission (armbar),1,1:40
Women's Flyweight,Shana Dobson,def.,Ariel Beck,TKO (punches),2,2:53
Women's Flyweight,Gillian Robertson,def.,Emily Whitmire,Submission (armbar),1,2:12
