Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Benson Henderson,def.,Jorge Masvidal,"Decision (split) (47–48, 48–47, 49–46)",5,5:00
Welterweight,Dong Hyun Kim,def.,Dominic Waters,TKO (punches),1,3:11
Welterweight,Alberto Mina,def.,Yoshihiro Akiyama,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Featherweight,Doo Ho Choi,def.,Sam Sicilia,KO (punches),1,1:33
Middleweight,Dongi Yang,def.,Jake Collier,TKO (punches),2,1:50
Featherweight,Mike De La Torre,def.,Yui Chul Nam,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Tae Hyun Bang,def.,Leo Kuntz,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Strawweight,Seo Hee Ham,def.,Cortney Casey,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Flyweight,Fredy Serrano,def.,Yao Zhikui,TKO (arm injury),1,0:44
Bantamweight,Marco Beltrán,def.,Ning Guangyou,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Dominique Steele,def.,Dong Hyun Ma,KO (slam),3,0:27
