Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Randy Couture,def.,Mark Coleman,Technical Submission (rear-naked choke),2,1:09
Middleweight,Chael Sonnen,def.,Nate Marquardt,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Paulo Thiago,def.,Mike Swick,Technical Submission (D'Arce choke),2,1:54
Middleweight,Demian Maia,def.,Dan Miller,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Welterweight,Matt Serra,def.,Frank Trigg,KO (punches),1,2:23
Lightweight,Mac Danzig,def.,Justin Buchholz,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Melvin Guillard,def.,Ronys Torres,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Rob Emerson,def.,Phillipe Nover,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Phil Davis,def.,Brian Stann,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
Heavyweight,Chris Tuchscherer,def.,Tim Hague,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Heavyweight,Joey Beltran,def.,Rolles Gracie Jr.,TKO (punches),2,1:31
