Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,Tim Elliott,"Decision (unanimous) (49–46, 49–46, 49–45)",5,5:00
Flyweight,Joseph Benavidez,def.,Henry Cejudo,"Decision (split) (27–29, 30–26, 29–27)",3,5:00
Welterweight,Jorge Masvidal,def.,Jake Ellenberger,TKO (punches),1,4:05
Light Heavyweight,Jared Cannonier,def.,Ion Cuțelaba,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Sara McMann,def.,Alexis Davis,Submission (arm-triangle choke),2,2:52
Flyweight,Brandon Moreno,def.,Ryan Benoit,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Featherweight,Ryan Hall,def.,Gray Maynard,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Rob Font,def.,Matt Schnell,KO (knee and punches),1,3:47
Lightweight,Dong Hyun Ma,def.,Brendan O'Reilly,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Strawweight,Jamie Moyle,def.,Kailin Curran,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Anthony Smith,def.,Elvis Mutapcic,TKO (elbow and punches),2,3:27
Light Heavyweight,Devin Clark,def.,Josh Stansbury,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
