Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones,def.,Maurício Rua (c),TKO (knees and punches),3,2:37
Bantamweight,Urijah Faber,def.,Eddie Wineland,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Jim Miller,def.,Kamal Shalorus,TKO (knee and punches),3,2:15
Middleweight,Nate Marquardt,def.,Dan Miller,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Brendan Schaub,def.,Mirko Cro Cop,KO (punch),3,3:44
Light Heavyweight,Luiz Cané,def.,Eliot Marshall,TKO (punches),1,2:15
Lightweight,Edson Barboza,def.,Anthony Njokuani,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Mike Pyle,def.,Ricardo Almeida,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Gleison Tibau,def.,Kurt Pellegrino,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Bantamweight,Joseph Benavidez,def.,Ian Loveland,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Catchweight (195 lbs),Nick Catone,def.,Costas Philippou,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Erik Koch,def.,Raphael Assunção,KO (punch),1,2:32
