Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Jeremy Stephens,def.,Josh Emmett,KO (punches and elbows),2,1:35
Women's Strawweight,Jéssica Andrade,def.,Tecia Torres,"Decision (unanimous) (29–27, 29–28, 29–28)",3,5:00
Light Heavyweight,Ilir Latifi,def.,Ovince Saint Preux,Technical Submission (standing guillotine choke),1,3:48
Welterweight,Max Griffin,def.,Mike Perry,"Decision (unanimous) (29–27, 29–27, 30–27)",3,5:00
Bantamweight,Brian Kelleher,def.,Renan Barão,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Women's Bantamweight,Marion Reneau,def.,Sara McMann,Submission (triangle choke),2,3:40
Women's Strawweight,Angela Hill,def.,Maryna Moroz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Alan Jouban,def.,Ben Saunders,KO (punch),2,2:38
Light Heavyweight,Sam Alvey,def.,Marcin Prachnio,KO (punch),1,4:23
Bantamweight,Rani Yahya,def.,Russell Doane,Submission (arm-triangle choke),3,2:32
Catchweight (126.5 lbs),Alex Perez,def.,Eric Shelton,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Manny Bermudez,def.,Albert Morales,Submission (guillotine choke),2,2:33
