Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Georges St-Pierre (ic),def.,Matt Serra (c),TKO (knees to the body),2,4:45
Middleweight,Rich Franklin,def.,Travis Lutter,TKO (punches),2,3:01
Middleweight,Nate Quarry,def.,Kalib Starnes,"Decision (unanimous) (30–26, 30–27, 30–24)",3,5:00
Middleweight,Michael Bisping,def.,Charles McCarthy,TKO (arm injury),1,5:00
Lightweight,Mac Danzig,def.,Mark Bocek,Submission (rear-naked choke),3,3:48
Middleweight,Jason Day,def.,Alan Belcher,TKO (punches),1,3:58
Middleweight,Jason MacDonald,def.,Joe Doerksen,TKO (elbows),2,0:56
Middleweight,Demian Maia,def.,Ed Herman,Technical Submission (mounted triangle choke),2,2:27
Lightweight,Rich Clementi,def.,Sam Stout,"Decision (split) (29–27, 28–29, 29–28)",3,5:00
Heavyweight,Cain Velasquez,def.,Brad Morris,TKO (punches),1,2:10
Welterweight,Jonathan Goulet,def.,Kuniyoshi Hironaka,TKO (punches),2,2:07
