Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Vitor Belfort,def.,Dan Henderson,KO (head kick and punches),1,2:07
Light Heavyweight,Glover Teixeira,def.,Patrick Cummins,TKO (punches),2,1:12
Bantamweight,Thomas Almeida,def.,Anthony Birchak,KO (punches),1,4:22
Lightweight,Alex Oliveira,def.,Piotr Hallmann,KO (punch),3,0:54
Lightweight,Rashid Magomedov,def.,Gilbert Burns,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Corey Anderson,def.,Fabio Maldonado,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Abel Trujillo,def.,Gleison Tibau,Disqualification (overturned),1,1:45
Lightweight,Johnny Case,def.,Yan Cabral,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Thiago Tavares,def.,Clay Guida,Submission (guillotine choke),1,0:39
Featherweight,Chas Skelly,def.,Kevin Souza,Submission (rear-naked choke),2,1:56
Welterweight,Viscardi Andrade,def.,Gasan Umalatov,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Jimmie Rivera,def.,Pedro Munhoz,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Bantamweight,Matheus Nicolau,def.,Bruno Rodrigues,Submission (Japanese necktie),3,3:27
