Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Flyweight,Valentina Shevchenko (c),def.,Liz Carmouche,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Welterweight,Vicente Luque,def.,Mike Perry,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Featherweight,Luiz Eduardo Garagorri,def.,Humberto Bandenay,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Volkan Oezdemir,def.,Ilir Latifi,KO (punches),2,4:31
Middleweight,Rodolfo Vieira,def.,Oskar Piechota,Submission (arm-triangle choke),2,4:26
Featherweight,Enrique Barzola,def.,Bobby Moffett,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Welterweight,Gilbert Burns,def.,Alexey Kunchenko,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Ciryl Gané,def.,Raphael Pessoa Nunes,Submission (arm-triangle choke),1,4:12
Women's Strawweight,Marina Rodriguez,def.,Tecia Torres,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Flyweight,Rogério Bontorin,def.,Raulian Paiva,TKO (doctor stoppage),1,2:56
Bantamweight,Chris Gutiérrez,def.,Geraldo de Freitas,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Lightweight,Alex da Silva Coelho,def.,Rodrigo Vargas,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Flyweight,Veronica Macedo,def.,Polyana Viana,Submission (armbar),1,1:09
