Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Alistair Overeem,def.,Andrei Arlovski,TKO (crane kick and punches),2,1:12
Heavyweight,Stefan Struve,def.,Antônio Silva,KO (elbows),1,0:16
Welterweight,Gunnar Nelson,def.,Albert Tumenov,Submission (neck crank),2,3:15
Women's Bantamweight,Germaine de Randamie,def.,Anna Elmose,TKO (knee to the body and punches),1,3:46
Light Heavyweight,Nikita Krylov,def.,Francimar Barroso,Submission (rear-naked choke),2,3:11
Women's Strawweight,Karolina Kowalkiewicz,def.,Heather Jo Clark,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Rustam Khabilov,def.,Chris Wade,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Middleweight,Magnus Cedenblad,def.,Garreth McLellan,TKO (head kick and punches),2,0:47
Lightweight,Josh Emmett,def.,Jon Tuck,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Reza Madadi,def.,Yan Cabral,TKO (punches),3,1:56
Flyweight,Kyoji Horiguchi,def.,Neil Seery,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00
Welterweight,Leon Edwards,def.,Dominic Waters,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Ulka Sasaki,def.,Willie Gates,Submission (rear-naked choke),2,3:30
