Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Tito Ortiz (c),def.,Elvis Sinosic,TKO (punches and elbows),1,3:32
Lightweight,B.J. Penn,def.,Din Thomas,TKO (strikes),1,2:42
Heavyweight,Josh Barnett,def.,Semmy Schilt,Submission (armbar),1,4:21
Welterweight,Pat Miletich,def.,Shonie Carter,KO (head kick),2,2:42
Lightweight,Caol Uno,def.,Fabiano Iha,KO (punches),1,1:48
Light Heavyweight,Vladimir Matyushenko,def.,Yuki Kondo,Unanimous decision,3,5:00
Heavyweight,Ricco Rodriguez,def.,Andrei Arlovski,TKO (strikes),3,1:23
Lightweight,Tony DeSouza,def.,Paul Rodriguez,Submission (choke),1,1:05
