Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,Chris Cariaso,Submission (kimura),2,2:29
Lightweight,Donald Cerrone,def.,Eddie Alvarez,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Conor McGregor,def.,Dustin Poirier,TKO (punches),1,1:46
Middleweight,Yoel Romero,def.,Tim Kennedy,TKO (punches),3,0:58
Women's Bantamweight,Cat Zingano,def.,Amanda Nunes,TKO (elbows and punches),3,1:21
Bantamweight,Dominick Cruz,def.,Takeya Mizugaki,KO (punches),1,1:01
Lightweight,Jorge Masvidal,def.,James Krause,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Welterweight,Stephen Thompson,def.,Patrick Côté,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Welterweight,Brian Ebersole,def.,John Howard,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Kevin Lee,def.,Jon Tuck,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Bantamweight,Manvel Gamburyan,def.,Cody Gibson,Submission (guillotine choke),2,4:56
