Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,Wilson Reis,Submission (armbar),3,4:49
Women's Strawweight,Rose Namajunas,def.,Michelle Waterson,Submission (rear-naked choke),2,2:47
Middleweight,Robert Whittaker,def.,Ronaldo Souza,TKO (head kick and punches),2,3:28
Featherweight,Renato Moicano,def.,Jeremy Stephens,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Heavyweight,Alexander Volkov,def.,Roy Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Tom Duquesnoy,def.,Patrick Williams,TKO (elbow and punch),2,0:28
Lightweight,Rashid Magomedov,def.,Bobby Green,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Flyweight,Tim Elliott,def.,Louis Smolka,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Aljamain Sterling,def.,Augusto Mendes,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Devin Clark,def.,Jake Collier,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Middleweight,Anthony Smith,def.,Andrew Sanchez,KO (head kick and punches),3,3:52
Welterweight,Zak Cummings,def.,Nathan Coy,Technical Submission (guillotine choke),1,4:21
Women's Bantamweight,Ketlen Vieira,def.,Ashlee Evans-Smith,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
