Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Ronaldo Souza,def.,Gegard Mousasi,Submission (guillotine choke),3,4:30
Heavyweight,Ben Rothwell,def.,Alistair Overeem,TKO (punches),1,2:19
Heavyweight,Matt Mitrione,def.,Derrick Lewis,KO (punches),1,0:41
Lightweight,Joe Lauzon,def.,Michael Chiesa,TKO (doctor stoppage),2,2:14
Flyweight,John Moraga,def.,Justin Scoggins,Submission (guillotine choke),2,0:47
Lightweight,Al Iaquinta,def.,Rodrigo Damm,TKO (punches and elbow),3,2:26
Middleweight,Rafael Natal,def.,Chris Camozzi,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Bantamweight,Chris Beal,def.,Tateki Matsuda,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Featherweight,Chas Skelly,def.,Sean Soriano,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
