Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Yair Rodríguez,vs.,Jeremy Stephens,No Contest (accidental eye poke),1,0:15
Women's Strawweight,Carla Esparza,def.,Alexa Grasso,"Decision (majority) (28–28, 29–28, 29–28)",3,5:00
Flyweight,Brandon Moreno,vs.,Askar Askarov,"Draw (split) (28–28, 28–29, 30–27)",3,5:00
Catchweight (140 lbs.),Irene Aldana,def.,Vanessa Melo,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Featherweight,Steven Peterson,def.,Martín Bravo,KO (spinning backfist),2,1:31
Bantamweight,José Alberto Quiñónez,def.,Carlos Huachin,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Kyle Nelson,def.,Polo Reyes,TKO (punches),1,1:36
Women's Strawweight,Angela Hill,def.,Ariane Carnelossi,TKO (doctor stoppage),3,1:56
Flyweight,Sergio Pettis,def.,Tyson Nam,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Paul Craig,def.,Vinicius Moreira,Submission (rear-naked choke),1,3:19
Women's Bantamweight,Bethe Correia,def.,Sijara Eubanks,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Claudio Puelles,def.,Marcos Rosa Mariano,"Decision (unanimous) (30–25, 30–25, 30–25)",3,5:00
