Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Nate Diaz,def.,Jim Miller,Submission (guillotine choke),2,4:09
Welterweight,Johny Hendricks,def.,Josh Koscheck,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Alan Belcher,def.,Rousimar Palhares,TKO (punches and elbows),1,4:18
Heavyweight,Lavar Johnson,def.,Pat Barry,TKO (punches),1,4:38
Lightweight,Michael Johnson,def.,Tony Ferguson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,John Dodson,def.,Tim Elliott,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,John Hathaway,def.,Pascal Krauss,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Catchweight (127lb),Louis Gaudinot,def.,John Lineker,Technical Submission (guillotine choke),2,4:54
Lightweight,Danny Castillo,def.,John Cholish,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Dennis Bermudez,def.,Pablo Garza,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Roland Delorme,def.,Nick Denis,Submission (rear-naked choke),1,4:59
Middleweight,Karlos Vemola,def.,Mike Massenzio,Submission (rear-naked choke),2,1:07
