Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,John Dodson,"Decision (unanimous) (48–47, 49–46, 48–47)",5,5:00
Light Heavyweight,Glover Teixeira,def.,Quinton Jackson,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Anthony Pettis,def.,Donald Cerrone,TKO (body kick),1,2:35
Featherweight,Ricardo Lamas,def.,Erik Koch,TKO (elbows),2,2:32
Lightweight,TJ Grant,def.,Matt Wiman,KO (elbows and punches),1,4:51
Featherweight,Clay Guida,def.,Hatsu Hioki,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Welterweight,Pascal Krauss,def.,Mike Stumpf,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Ryan Bader,def.,Vladimir Matyushenko,Submission (guillotine choke),1,0:50
Heavyweight,Shawn Jordan,def.,Mike Russow,TKO (punches),2,3:48
Middleweight,Rafael Natal,def.,Sean Spencer,Submission (arm-triangle choke),3,2:13
Welterweight,David Mitchell,def.,Simeon Thoresen,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
